OBJECTID,Id,ORIG_FID,Name,x,y,distance
281,0,0, ,569941.7603,6092806.997,8430
282,0,0, ,569971.7481,6092807.854,8460
283,0,0, ,570001.7359,6092808.71,8490
284,0,0, ,570031.7236,6092809.567,8520
285,0,0, ,570061.7114,6092810.424,8550
286,0,0, ,570091.6992,6092811.281,8580
287,0,0, ,570121.6869,6092812.138,8610
288,0,0, ,570151.6747,6092812.994,8640
289,0,0, ,570181.6625,6092813.851,8670
290,0,0, ,570211.6502,6092814.708,8700
291,0,0, ,570241.638,6092815.565,8730
292,0,0, ,570271.6258,6092816.422,8760
293,0,0, ,570301.6136,6092817.278,8790
294,0,0, ,570331.6013,6092818.135,8820
295,0,0, ,570361.5891,6092818.992,8850
296,0,0, ,570391.5769,6092819.849,8880
297,0,0, ,570421.5645,6092820.706,8910
298,0,0, ,570451.5523,6092821.562,8940
299,0,0, ,570481.5401,6092822.419,8970
300,0,0, ,570511.5278,6092823.276,9000
301,0,0, ,570541.5156,6092824.133,9030
302,0,0, ,570571.5034,6092824.989,9060
303,0,0, ,570601.4911,6092825.846,9090
304,0,0, ,570631.4789,6092826.703,9120
305,0,0, ,570661.4667,6092827.56,9150
306,0,0, ,570691.4544,6092828.417,9180
307,0,0, ,570721.4422,6092829.273,9210
308,0,0, ,570751.43,6092830.13,9240
309,0,0, ,570781.4177,6092830.987,9270
310,0,0, ,570811.4055,6092831.844,9300
311,0,0, ,570841.3933,6092832.701,9330
312,0,0, ,570871.381,6092833.557,9360
313,0,0, ,570901.3688,6092834.414,9390
314,0,0, ,570931.3566,6092835.271,9420
315,0,0, ,570961.3443,6092836.128,9450
316,0,0, ,570991.3321,6092836.985,9480
317,0,0, ,571021.3198,6092837.841,9510
318,0,0, ,571051.3075,6092838.698,9540
319,0,0, ,571081.2953,6092839.555,9570
320,0,0, ,571111.2831,6092840.412,9600
321,0,0, ,571141.2708,6092841.269,9630
322,0,0, ,571171.2586,6092842.125,9660
323,0,0, ,571201.2464,6092842.982,9690
324,0,0, ,571231.2341,6092843.839,9720
325,0,0, ,571261.2219,6092844.696,9750
326,0,0, ,571291.2097,6092845.553,9780
327,0,0, ,571321.1974,6092846.409,9810
328,0,0, ,571351.1852,6092847.266,9840
329,0,0, ,571381.173,6092848.123,9870
330,0,0, ,571411.1607,6092848.98,9900
331,0,0, ,571441.1485,6092849.836,9930
332,0,0, ,571471.1363,6092850.693,9960
333,0,0, ,571501.1241,6092851.55,9990
334,0,0, ,571531.1118,6092852.407,10020
335,0,0, ,571561.0996,6092853.264,10050
336,0,0, ,571591.0874,6092854.12,10080
337,0,0, ,571621.0751,6092854.977,10110
338,0,0, ,571651.0628,6092855.834,10140
339,0,0, ,571681.0506,6092856.691,10170
340,0,0, ,571711.0383,6092857.548,10200
341,0,0, ,571741.0261,6092858.404,10230
342,0,0, ,571771.0139,6092859.261,10260
343,0,0, ,571801.0016,6092860.118,10290
344,0,0, ,571830.9894,6092860.975,10320
345,0,0, ,571860.9772,6092861.832,10350
346,0,0, ,571890.9649,6092862.688,10380
347,0,0, ,571920.9527,6092863.545,10410
348,0,0, ,571950.9405,6092864.402,10440
349,0,0, ,571980.9282,6092865.259,10470
350,0,0, ,572010.916,6092866.116,10500
351,0,0, ,572040.9038,6092866.972,10530
352,0,0, ,572070.8915,6092867.829,10560
353,0,0, ,572100.8793,6092868.686,10590
354,0,0, ,572130.8671,6092869.543,10620
355,0,0, ,572160.8548,6092870.4,10650
356,0,0, ,572190.8426,6092871.256,10680
357,0,0, ,572220.8304,6092872.113,10710
358,0,0, ,572250.818,6092872.97,10740
359,0,0, ,572280.8058,6092873.827,10770
360,0,0, ,572310.7936,6092874.683,10800
361,0,0, ,572340.7813,6092875.54,10830
362,0,0, ,572370.7691,6092876.397,10860
363,0,0, ,572400.7569,6092877.254,10890
364,0,0, ,572430.7446,6092878.111,10920
365,0,0, ,572460.7324,6092878.967,10950
366,0,0, ,572490.7202,6092879.824,10980
367,0,0, ,572520.7079,6092880.681,11010
368,0,0, ,572550.6957,6092881.538,11040
369,0,0, ,572580.6835,6092882.395,11070
370,0,0, ,572610.6713,6092883.251,11100
371,0,0, ,572640.659,6092884.108,11130
372,0,0, ,572670.6468,6092884.965,11160
373,0,0, ,572700.6346,6092885.822,11190
374,0,0, ,572730.6223,6092886.679,11220
375,0,0, ,572760.6101,6092887.535,11250
376,0,0, ,572790.5979,6092888.392,11280
377,0,0, ,572820.5856,6092889.249,11310
378,0,0, ,572850.5733,6092890.106,11340
379,0,0, ,572880.5611,6092890.963,11370
380,0,0, ,572910.5488,6092891.819,11400
381,0,0, ,572940.5366,6092892.676,11430
382,0,0, ,572970.5244,6092893.533,11460
383,0,0, ,573000.5121,6092894.39,11490
384,0,0, ,573030.4999,6092895.247,11520
385,0,0, ,573060.4877,6092896.103,11550
386,0,0, ,573090.4754,6092896.96,11580
387,0,0, ,573120.4632,6092897.817,11610
388,0,0, ,573150.451,6092898.674,11640
389,0,0, ,573180.4387,6092899.53,11670
390,0,0, ,573210.4265,6092900.387,11700
391,0,0, ,573240.4143,6092901.244,11730
392,0,0, ,573270.402,6092902.101,11760
393,0,0, ,573300.3898,6092902.958,11790
394,0,0, ,573330.3776,6092903.814,11820
395,0,0, ,573360.3653,6092904.671,11850
396,0,0, ,573390.3531,6092905.528,11880
397,0,0, ,573420.3409,6092906.385,11910
398,0,0, ,573450.3285,6092907.242,11940
399,0,0, ,573480.3163,6092908.098,11970
400,0,0, ,573510.3041,6092908.955,12000
401,0,0, ,573540.2918,6092909.812,12030
402,0,0, ,573570.2796,6092910.669,12060
403,0,0, ,573600.2674,6092911.526,12090
404,0,0, ,573630.2551,6092912.382,12120
405,0,0, ,573660.2429,6092913.239,12150
406,0,0, ,573690.2307,6092914.096,12180
407,0,0, ,573720.2184,6092914.953,12210
408,0,0, ,573750.2062,6092915.81,12240
409,0,0, ,573780.194,6092916.666,12270
410,0,0, ,573810.1818,6092917.523,12300
411,0,0, ,573840.1695,6092918.38,12330
412,0,0, ,573870.1573,6092919.237,12360
413,0,0, ,573900.1451,6092920.094,12390
414,0,0, ,573930.1328,6092920.95,12420
415,0,0, ,573960.1206,6092921.807,12450
416,0,0, ,573990.1084,6092922.664,12480
417,0,0, ,574020.0961,6092923.521,12510
418,0,0, ,574050.0839,6092924.378,12540
419,0,0, ,574080.0716,6092925.234,12570
420,0,0, ,574110.0593,6092926.091,12600
421,0,0, ,574140.0471,6092926.948,12630
422,0,0, ,574170.0349,6092927.805,12660
423,0,0, ,574200.0226,6092928.661,12690
424,0,0, ,574230.0104,6092929.518,12720
425,0,0, ,574259.9982,6092930.375,12750
426,0,0, ,574289.9859,6092931.232,12780
427,0,0, ,574319.9737,6092932.089,12810
428,0,0, ,574349.9615,6092932.945,12840
429,0,0, ,574379.9492,6092933.802,12870
430,0,0, ,574409.937,6092934.659,12900
431,0,0, ,574439.9248,6092935.516,12930
432,0,0, ,574469.9125,6092936.373,12960
433,0,0, ,574499.9003,6092937.229,12990
434,0,0, ,574529.8881,6092938.086,13020
435,0,0, ,574559.8758,6092938.943,13050
436,0,0, ,574589.8636,6092939.8,13080
437,0,0, ,574619.8514,6092940.657,13110
438,0,0, ,574649.8391,6092941.513,13140
439,0,0, ,574679.8268,6092942.37,13170
440,0,0, ,574709.8146,6092943.227,13200
441,0,0, ,574739.8023,6092944.084,13230
442,0,0, ,574769.7901,6092944.941,13260
443,0,0, ,574799.7779,6092945.797,13290
444,0,0, ,574829.7656,6092946.654,13320
445,0,0, ,574859.7534,6092947.511,13350
446,0,0, ,574889.7412,6092948.368,13380
447,0,0, ,574919.729,6092949.225,13410
448,0,0, ,574949.7167,6092950.081,13440
449,0,0, ,574979.7045,6092950.938,13470
450,0,0, ,575009.6923,6092951.795,13500
451,0,0, ,575039.68,6092952.652,13530
452,0,0, ,575069.6678,6092953.508,13560
453,0,0, ,575099.6556,6092954.365,13590
454,0,0, ,575129.6433,6092955.222,13620
455,0,0, ,575159.6311,6092956.079,13650
456,0,0, ,575189.6189,6092956.936,13680
457,0,0, ,575219.6066,6092957.792,13710
458,0,0, ,575249.5944,6092958.649,13740
459,0,0, ,575279.5821,6092959.506,13770
460,0,0, ,575309.5698,6092960.363,13800
461,0,0, ,575339.5576,6092961.22,13830
462,0,0, ,575369.5454,6092962.076,13860
463,0,0, ,575399.5331,6092962.933,13890
464,0,0, ,575429.5209,6092963.79,13920
465,0,0, ,575459.5087,6092964.647,13950
466,0,0, ,575489.4964,6092965.504,13980
467,0,0, ,575519.4842,6092966.36,14010
468,0,0, ,575549.472,6092967.217,14040
469,0,0, ,575579.4597,6092968.074,14070
470,0,0, ,575609.4475,6092968.931,14100
471,0,0, ,575639.4353,6092969.788,14130
472,0,0, ,575669.423,6092970.644,14160
473,0,0, ,575699.4108,6092971.501,14190
474,0,0, ,575729.3986,6092972.358,14220
475,0,0, ,575759.3863,6092973.215,14250
476,0,0, ,575789.3741,6092974.072,14280
477,0,0, ,575819.3619,6092974.928,14310
478,0,0, ,575849.3496,6092975.785,14340
479,0,0, ,575879.3373,6092976.642,14370
480,0,0, ,575909.3251,6092977.499,14400
481,0,0, ,575939.3128,6092978.355,14430
482,0,0, ,575969.3006,6092979.212,14460
483,0,0, ,575999.2884,6092980.069,14490
484,0,0, ,576029.2761,6092980.926,14520
485,0,0, ,576059.2639,6092981.783,14550
486,0,0, ,576089.2517,6092982.639,14580
487,0,0, ,576119.2395,6092983.496,14610
488,0,0, ,576149.2272,6092984.353,14640
489,0,0, ,576179.215,6092985.21,14670
490,0,0, ,576209.2028,6092986.067,14700
491,0,0, ,576239.1905,6092986.923,14730
492,0,0, ,576269.1783,6092987.78,14760
493,0,0, ,576299.1661,6092988.637,14790
494,0,0, ,576329.1538,6092989.494,14820
495,0,0, ,576359.1416,6092990.351,14850
496,0,0, ,576389.1294,6092991.207,14880
497,0,0, ,576419.1171,6092992.064,14910
498,0,0, ,576449.1049,6092992.921,14940
499,0,0, ,576479.0927,6092993.778,14970
500,0,0, ,576509.0803,6092994.635,15000
501,0,0, ,576539.0681,6092995.491,15030
502,0,0, ,576569.0559,6092996.348,15060
503,0,0, ,576599.0436,6092997.205,15090
504,0,0, ,576629.0314,6092998.062,15120
505,0,0, ,576659.0192,6092998.919,15150
506,0,0, ,576689.0069,6092999.775,15180
507,0,0, ,576718.9947,6093000.632,15210
508,0,0, ,576748.9825,6093001.489,15240
509,0,0, ,576778.9702,6093002.346,15270
510,0,0, ,576808.958,6093003.202,15300
511,0,0, ,576838.9458,6093004.059,15330
512,0,0, ,576868.9335,6093004.916,15360
513,0,0, ,576898.9213,6093005.773,15390
514,0,0, ,576928.9091,6093006.63,15420
515,0,0, ,576958.8968,6093007.486,15450
516,0,0, ,576988.8846,6093008.343,15480
517,0,0, ,577018.8724,6093009.2,15510
518,0,0, ,577048.8601,6093010.057,15540
519,0,0, ,577078.8479,6093010.914,15570
520,0,0, ,577108.8356,6093011.77,15600
521,0,0, ,577138.8233,6093012.627,15630
522,0,0, ,577168.8111,6093013.484,15660
523,0,0, ,577198.7989,6093014.341,15690
524,0,0, ,577228.7867,6093015.198,15720
525,0,0, ,577258.7744,6093016.054,15750
526,0,0, ,577288.7622,6093016.911,15780
527,0,0, ,577318.75,6093017.768,15810
528,0,0, ,577348.7377,6093018.625,15840
529,0,0, ,577378.7255,6093019.482,15870
530,0,0, ,577408.7133,6093020.338,15900
531,0,0, ,577438.701,6093021.195,15930
532,0,0, ,577468.6888,6093022.052,15960
533,0,0, ,577498.6766,6093022.909,15990
534,0,0, ,577528.6643,6093023.766,16020
535,0,0, ,577558.6521,6093024.622,16050
536,0,0, ,577588.6399,6093025.479,16080
537,0,0, ,577618.6276,6093026.336,16110
